Date,Symbol,Close,mom,yoy
30-07-2021,NICKEL       ,1509.8,0.097397878,
31-08-2021,NICKEL       ,1449.2,-0.040137767,
30-09-2021,NICKEL       ,1440.6,-0.005934309,
29-10-2021,NICKEL       ,1540.6,0.069415521,
30-11-2021,NICKEL       ,1570.2,0.019213294,0.301234773
31-12-2021,NICKEL       ,1572.5,0.001464782,0.24831309
31-01-2022,NICKEL       ,1729.1,0.099586645,0.326505562
28-02-2022,NICKEL       ,1911.5,0.105488404,0.358467771
31-03-2022,NICKEL       ,2484.4,0.299712268,1.060545741
29-04-2022,NICKEL       ,2564.8,0.032361938,0.957264957
31-05-2022,NICKEL       ,2291.7,-0.106480037,0.757034425
30-06-2022,NICKEL       ,2052.6,-0.104333028,0.491931967
21-07-2022,NICKEL       ,1947,-0.051446945,0.289574778
30-11-2020,PEPPER       ,33000,,
31-12-2020,PEPPER       ,33000,0,
29-01-2021,PEPPER       ,33000,0,
26-02-2021,PEPPER       ,34500,0.045454545,
31-12-2020,RUBBER       ,15364,,
29-01-2021,RUBBER       ,15112,-0.016401979,
26-02-2021,RUBBER       ,16033,0.060944944,
31-03-2021,RUBBER       ,16980,0.059065677,
30-04-2021,RUBBER       ,16585,-0.023262662,
31-05-2021,RUBBER       ,17063,0.028821224,
30-06-2021,RUBBER       ,16683,-0.02227041,
30-07-2021,RUBBER       ,17068,0.023077384,
31-08-2021,RUBBER       ,18019,0.055718303,
30-09-2021,RUBBER       ,16848,-0.064986958,
29-10-2021,RUBBER       ,17370,0.030982906,
30-11-2021,RUBBER       ,19098,0.099481865,
31-12-2021,RUBBER       ,16337,-0.144570112,0.063329862
31-01-2022,RUBBER       ,16382,0.002754484,0.084039174
28-02-2022,RUBBER       ,16451,0.00421194,0.026071228
31-03-2022,RUBBER       ,17514,0.064616133,0.031448763
29-04-2022,RUBBER       ,16681,-0.04756195,0.005788363
31-05-2022,RUBBER       ,17404,0.043342725,0.019984762
30-06-2022,RUBBER       ,17814,0.023557803,0.067793562
21-07-2022,RUBBER       ,17400,-0.023240148,0.019451605
30-11-2020,SILVER       ,59122,,
31-12-2020,SILVER       ,68105,0.151940056,
29-01-2021,SILVER       ,69706,0.023507819,
26-02-2021,SILVER       ,67261,-0.03507589,
31-03-2021,SILVER       ,63814,-0.051248123,
30-04-2021,SILVER       ,67524,0.058137713,
31-05-2021,SILVER       ,71898,0.064776968,
30-06-2021,SILVER       ,68135,-0.052338034,
30-07-2021,SILVER       ,67847,-0.004226902,
31-08-2021,SILVER       ,62916,-0.072678232,
30-09-2021,SILVER       ,59617,-0.052434993,
29-10-2021,SILVER       ,64534,0.082476475,
30-11-2021,SILVER       ,61646,-0.044751604,0.042691384
